GCS WKID	Name	WKT	Accuracy (m)	Area of Use	Minimum Latitude	Minimum Longitude	Maximum Latitude	Maximum Longitude
  1470	Abidjan_1987_To_WGS_1984	GEOGTRAN["Abidjan_1987_To_WGS_1984",GEOGCS["GCS_Abidjan_1987",DATUM["D_Abidjan_1987",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-124.76],PARAMETER["Y_Axis_Translation",53.0],PARAMETER["Z_Axis_Translation",466.79]]	  2.000	Cote d'Ivoire (Ivory Coast)	 1.0200	 -8.6100	10.7400	 -2.4800
  6872	Abidjan_1987_To_WGS_1984_2	GEOGTRAN["Abidjan_1987_To_WGS_1984_2",GEOGCS["GCS_Abidjan_1987",DATUM["D_Abidjan_1987",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-123.1],PARAMETER["Y_Axis_Translation",53.2],PARAMETER["Z_Axis_Translation",465.4]]	  2.000	Cote d'Ivoire (Ivory Coast) - offshore	 1.0200	 -7.5500	 5.1900	 -3.1100
  1570	Accra_To_WGS_1972_BE	GEOGTRAN["Accra_To_WGS_1972_BE",GEOGCS["GCS_Accra",DATUM["D_Accra",SPHEROID["War_Office",6378300.0,296.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1972_BE",DATUM["D_WGS_1972_BE",SPHEROID["WGS_1972",6378135.0,298.26]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-171.16],PARAMETER["Y_Axis_Translation",17.29],PARAMETER["Z_Axis_Translation",323.31]]	 25.000	Ghana - offshore	 1.4000	 -3.7900	 6.0600	  2.1000
  1569	Accra_To_WGS_1984	GEOGTRAN["Accra_To_WGS_1984",GEOGCS["GCS_Accra",DATUM["D_Accra",SPHEROID["War_Office",6378300.0,296.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-199.0],PARAMETER["Y_Axis_Translation",32.0],PARAMETER["Z_Axis_Translation",322.0]]	 25.000	Ghana	 1.4000	 -3.7900	11.1600	  2.1000
 15495	Accra_To_WGS_1984_3	GEOGTRAN["Accra_To_WGS_1984_3",GEOGCS["GCS_Accra",DATUM["D_Accra",SPHEROID["War_Office",6378300.0,296.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Position_Vector"],PARAMETER["X_Axis_Translation",-171.16],PARAMETER["Y_Axis_Translation",17.29],PARAMETER["Z_Axis_Translation",325.21],PARAMETER["X_Axis_Rotation",0.0],PARAMETER["Y_Axis_Rotation",0.0],PARAMETER["Z_Axis_Rotation",0.814],PARAMETER["Scale_Difference",-0.38]]	 25.000	Ghana - offshore	 1.4000	 -3.7900	 6.0600	  2.1000
  6896	Accra_To_WGS_1984_4	GEOGTRAN["Accra_To_WGS_1984_4",GEOGCS["GCS_Accra",DATUM["D_Accra",SPHEROID["War_Office",6378300.0,296.0]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-170.0],PARAMETER["Y_Axis_Translation",33.0],PARAMETER["Z_Axis_Translation",326.0]]	  6.000	Ghana - onshore	 4.6700	 -3.2500	11.1600	  1.2300
  6910	Aden_1925_To_WGS_1984_1	GEOGTRAN["Aden_1925_To_WGS_1984_1",GEOGCS["GCS_Aden_1925",DATUM["D_Aden_1925",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-24.0],PARAMETER["Y_Axis_Translation",-203.0],PARAMETER["Z_Axis_Translation",268.0]]	999.000	Yemen - South Yemen - mainland	12.5400	 43.3700	19.0000	 53.1400
  1100	Adindan_To_WGS_1984_1	GEOGTRAN["Adindan_To_WGS_1984_1",GEOGCS["GCS_Adindan",DATUM["D_Adindan",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-166.0],PARAMETER["Y_Axis_Translation",-15.0],PARAMETER["Z_Axis_Translation",204.0]]	  9.000	Africa - Eritrea, Ethiopia, South Sudan and Sudan	 3.4000	 21.8200	22.2400	 47.9900
  1101	Adindan_To_WGS_1984_2	GEOGTRAN["Adindan_To_WGS_1984_2",GEOGCS["GCS_Adindan",DATUM["D_Adindan",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-118.0],PARAMETER["Y_Axis_Translation",-14.0],PARAMETER["Z_Axis_Translation",218.0]]	 44.000	Burkina Faso	 9.3900	 -5.5300	15.0900	  2.4000
  1102	Adindan_To_WGS_1984_3	GEOGTRAN["Adindan_To_WGS_1984_3",GEOGCS["GCS_Adindan",DATUM["D_Adindan",SPHEROID["Clarke_1880_RGS",6378249.145,293.465]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],METHOD["Geocentric_Translation"],PARAMETER["X_Axis_Translation",-134.0],PARAMETER["Y_Axis_Translation",-2.0],PARAMETER["Z_Axis_Translation",210.0]]	 44.000	Cameroon - onshore	 1.6500	  8.4500	13.0900	 16.2100
