VCS WKID	Name	WKT	Area of Use	Minimum Latitude	Minimum Longitude	Maximum Latitude	Maximum Longitude
  5711	AHD	VERTCS["AHD",VDATUM["Australian_Height_Datum"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Australia - mainland	 -39.200	 112.850	 -10.650	 153.690
  5712	AHD_Tasmania	VERTCS["AHD_Tasmania",VDATUM["Australian_Height_Datum_Tasmania"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Australia - Tasmania mainland onshore	 -43.700	 144.550	 -40.240	 148.440
  5734	AIOC95_Depth	VERTCS["AIOC95_Depth",VDATUM["AIOC_1995"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]]	Azerbaijan - offshore and Sangachal	  37.890	  48.660	  42.590	  51.730
  5797	AIOC95_Height	VERTCS["AIOC95_Height",VDATUM["AIOC_1995"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Azerbaijan - offshore and Sangachal	  37.890	  48.660	  42.590	  51.730
  5782	Alicante	VERTCS["Alicante",VDATUM["Alicante"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Spain and Gibraltar - onshore	  35.950	  -9.370	  43.820	   3.390
  5775	Antalya	VERTCS["Antalya",VDATUM["Antalya"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Turkey - onshore	  35.810	  25.620	  42.150	  44.830
  6643	ASVD02_height	VERTCS["ASVD02_height",VDATUM["American_Samoa_Vertical_Datum_of_2002"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	American Samoa - Tutuila island	 -14.430	-170.880	 -14.200	-170.510
  5759	Auckland	VERTCS["Auckland",VDATUM["Auckland"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	New Zealand - North Island - Auckland vcrs	 -37.670	 174.000	 -36.120	 176.170
115703	Australian_Antarctic_1998	VERTCS["Australian_Antarctic_1998",DATUM["D_Australian_Antarctic_1998",SPHEROID["GRS_1980",6378137.0,298.257222101]],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Antarctica - Australian sector	 -90.000	  45.000	 -60.000	 160.000
  5705	Baltic	VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]]	Europe - FSU, Czechoslovakia - onshore	  35.140	  12.090	  77.790	-169.570
