VT WKID	Name	WKT	Accuracy (m)	Area of Use	Minimum Latitude	Minimum Longitude	Maximum Latitude	Maximum Longitude
  5403	AIOC95_Depth_To_Caspian_1	VERTTRAN["AIOC95_Depth_To_Caspian_1",VERTCS["AIOC95_Depth",VDATUM["AIOC_1995"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VERTCS["Caspian",VDATUM["Caspian_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",-1.7]]	0	Azerbaijan - offshore and Sangachal	37.89	48.66	42.59	51.73
  5429	Alicante_To_EVRS_2000_1	VERTTRAN["Alicante_To_EVRS_2000_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Alicante",VDATUM["Alicante"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",-0.486],PARAMETER["Longitude_Of_Evaluation",-3.659722222222222],PARAMETER["Latitude_Of_Evaluation",40.77222222222222],PARAMETER["Inclination_North",-0.003],PARAMETER["Inclination_East",0.006]]	0.1	Spain and Gibraltar - onshore	35.95	-9.369999999999999	43.82	3.39
  5200	Baltic_1982_Height_To_EVRF_2007_Height_1	VERTTRAN["Baltic_1982_Height_To_EVRF_2007_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Baltic_1982",VDATUM["Baltic_1982"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.228],PARAMETER["Longitude_Of_Evaluation",25.37666666666667],PARAMETER["Latitude_Of_Evaluation",42.625],PARAMETER["Inclination_North",-0.009],PARAMETER["Inclination_East",-0.003]]	0.1	Bulgaria - onshore	41.24	22.36	44.23	28.68
  5416	Baltic_1982_To_EVRS_2000_1	VERTTRAN["Baltic_1982_To_EVRS_2000_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Baltic_1982",VDATUM["Baltic_1982"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRS_2000",VDATUM["European_Vertical_Reference_Frame_2000"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.182],PARAMETER["Longitude_Of_Evaluation",25.37666666666667],PARAMETER["Latitude_Of_Evaluation",42.625],PARAMETER["Inclination_North",0.001],PARAMETER["Inclination_East",-0.004]]	0.1	Bulgaria - onshore	41.24	22.36	44.23	28.68
  5445	Baltic_Depth_To_AIOC95_Depth_1	VERTTRAN["Baltic_Depth_To_AIOC95_Depth_1",VERTCS["Baltic_depth",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VERTCS["AIOC95_Depth",VDATUM["AIOC_1995"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",-26.3]]	0	Azerbaijan - offshore and Sangachal	37.89	48.66	42.59	51.73
  5446	Baltic_Depth_To_AIOC95_Height_1	VERTTRAN["Baltic_Depth_To_AIOC95_Height_1",VERTCS["Baltic_depth",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VERTCS["AIOC95_Height",VDATUM["AIOC_1995"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",26.3]]	0	Azerbaijan - offshore and Sangachal	37.89	48.66	42.59	51.73
  5440	Baltic_Depth_To_Caspian_Depth_1	VERTTRAN["Baltic_Depth_To_Caspian_Depth_1",VERTCS["Baltic_depth",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VERTCS["Caspian",VDATUM["Caspian_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",-28.0]]	0	Asia - FSU - Caspian Sea	37.35	46.95	46.97	53.93
  5441	Baltic_Depth_To_Caspian_Height_1	VERTTRAN["Baltic_Depth_To_Caspian_Height_1",VERTCS["Baltic_depth",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VERTCS["Caspian_height",VDATUM["Caspian_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",28.0]]	0	Asia - FSU - Caspian Sea	37.35	46.95	46.97	53.93
  5443	Baltic_Height_To_AIOC95_Height_1	VERTTRAN["Baltic_Height_To_AIOC95_Height_1",VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["AIOC95_Height",VDATUM["AIOC_1995"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",26.3]]	0	Azerbaijan - offshore and Sangachal	37.89	48.66	42.59	51.73
  5442	Baltic_Height_To_Baltic_Depth_1	VERTTRAN["Baltic_Height_To_Baltic_Depth_1",VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["Baltic_depth",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",-1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",0.0]]	0	Europe - FSU, Czechoslovakia - onshore	35.14	12.09	77.79000000000001	-169.57
  5447	Baltic_Height_To_Black_Sea_Height_1	VERTTRAN["Baltic_Height_To_Black_Sea_Height_1",VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["Black_Sea",VDATUM["Black_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",0.4]]	0	Georgia - onshore	41.04	39.99	43.59	46.72
  5438	Baltic_Height_To_Caspian_Height_1	VERTTRAN["Baltic_Height_To_Caspian_Height_1",VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["Caspian_height",VDATUM["Caspian_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset"],PARAMETER["Vertical_Offset",28.0]]	0	Asia - FSU - Caspian Sea	37.35	46.95	46.97	53.93
  5202	Baltic_Height_To_EVRF_2007_Height_1	VERTTRAN["Baltic_Height_To_EVRF_2007_Height_1",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.13],PARAMETER["Longitude_Of_Evaluation",15.25],PARAMETER["Latitude_Of_Evaluation",49.91666666666666],PARAMETER["Inclination_North",0.026],PARAMETER["Inclination_East",0.0]]	0.1	Czech Republic	48.58	12.09	51.06	18.86
  5203	Baltic_Height_To_EVRF_2007_Height_2	VERTTRAN["Baltic_Height_To_EVRF_2007_Height_2",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.195],PARAMETER["Longitude_Of_Evaluation",25.86666666666667],PARAMETER["Latitude_Of_Evaluation",58.7],PARAMETER["Inclination_North",0.009],PARAMETER["Inclination_East",-0.013]]	0.1	Estonia - onshore	57.52	21.74	59.75	28.2
  5204	Baltic_Height_To_EVRF_2007_Height_3	VERTTRAN["Baltic_Height_To_EVRF_2007_Height_3",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.121],PARAMETER["Longitude_Of_Evaluation",24.01666666666667],PARAMETER["Latitude_Of_Evaluation",55.3],PARAMETER["Inclination_North",0.053],PARAMETER["Inclination_East",0.0]]	0.1	Lithuania - onshore	53.89	20.86	56.45	26.82
  5210	Baltic_Height_To_EVRF_2007_Height_4	VERTTRAN["Baltic_Height_To_EVRF_2007_Height_4",GEOGCS["GCS_ETRS_1989",DATUM["D_ETRS_1989",SPHEROID["GRS_1980",6378137.0,298.257222101]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]],VERTCS["Baltic",VDATUM["Baltic_Sea"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VERTCS["EVRF_2007",VDATUM["European_Vertical_Reference_Frame_2007"],PARAMETER["Vertical_Shift",0.0],PARAMETER["Direction",1.0],UNIT["Meter",1.0]],VTMETHOD["Vertical_Offset_and_Slope"],PARAMETER["Vertical_Offset",0.154],PARAMETER["Longitude_Of_Evaluation",24.88333333333333],PARAMETER["Latitude_Of_Evaluation",56.96666666666667],PARAMETER["Inclination_North",0.016],PARAMETER["Inclination_East",-0.012]]	0.1	Latvia - onshore	55.67	20.87	58.09	28.24
